"logFC"	"logCPM"	"PValue"	"FDR"
"COS4"	-2.34262900000073	5.68880258256595	6.45066495533706e-203	2.08693671907325e-201
"YMR045C"	-10.6357056126339	3.9896803025913	5.04351538349322e-201	1.62247325387629e-199
"AAH1"	-0.984331056443295	8.05965827231319	5.766718729459e-199	1.84470204750222e-197
"PYC1"	1.16845338460291	7.60575238560794	2.52354693379679e-197	8.02741689443514e-196
"LIA1"	-0.903082912507157	8.38912743760666	7.25881267729376e-197	2.29620441025059e-195
"SSA1"	0.598200425407486	9.87929443702156	1.20137128550396e-194	3.7793414915246e-193
"CIS3"	0.647991047828444	9.73441702401625	3.32772639450949e-194	1.04110297199654e-192
"QCR2"	1.05158762258101	7.79569880271927	2.376551526791e-193	7.39458163581856e-192
"RRP14"	-1.28784809667388	7.14374526623136	6.18152616718766e-193	1.91291358673731e-191
"PRY3"	-1.09782962777928	7.76024675297436	1.29117555034684e-192	3.97402896414861e-191
"UTP14"	-1.19565776751652	7.38209078205991	4.85139009703829e-192	1.48515135551269e-190
"NOP7"	-0.833047852833528	8.68563252815811	4.82238218912163e-189	1.46837669437746e-187
"CTP1"	-2.52821631259267	5.59609685869046	3.21089474332238e-188	9.72491205770088e-187
"RLP7"	-0.902392752991838	8.13694167429045	6.96591712338095e-188	2.09862074605985e-186
"ESBP6"	1.71459468865372	6.25179483185477	2.86959312226009e-185	8.59971749376262e-184
"NDI1"	2.24372977632265	5.83220096143001	7.14069038813417e-184	2.12874822356209e-182
"MMF1"	-0.953626529617017	7.98875363698918	1.7014969425253e-183	5.04600187017658e-182
"ERG4"	-0.665317359661626	9.3830407044854	5.34369286933689e-183	1.57652783409348e-181
"DRS1"	-1.09884564985563	7.53561270318831	1.29514181220086e-182	3.80130797869675e-181
"ATP2"	0.512360466264445	10.4282825889952	1.81640449262112e-182	5.30390111845366e-181
"ZRT2"	-1.25754783558375	7.12557124777604	4.14865953593575e-182	1.20522792844991e-180
"HOM6"	0.69787595674249	9.09337150238262	7.6847952229748e-181	2.22117888322937e-179
"PUT2"	1.70852499409389	6.39426498733079	2.2636879213802e-180	6.50981768906003e-179
"MAK16"	-1.33187088977456	7.02209110778773	1.17493405821148e-179	3.36184649620913e-178
"RPL41A"	-0.862639651682671	10.1976456911696	1.09655738217905e-178	3.12189886706375e-177
"PCS60"	1.54866589800393	6.65829358207594	6.97450436535929e-178	1.9757625799182e-176
"NHP2"	-0.957834578949668	8.04141181800983	2.7445945629482e-177	7.73649576308269e-176
"RPL4B"	0.39712037175523	12.1230506449394	5.38860420442792e-177	1.51146366206958e-175
"UBA1"	0.9727659060948	7.95172584662874	1.05374273578719e-176	2.94118193018248e-175
"ITR1"	0.859136021345823	8.35809089216679	2.44189055908931e-176	6.78249992363635e-175
"TDH2"	-0.370937210818204	12.9099507000689	1.77314395478045e-175	4.90110761093199e-174
"TIF1"	0.496638559921622	10.3408002988222	2.93866578335203e-175	8.08346037217703e-174
"ERG28"	-0.864703103874319	8.25412078128126	1.55570267470381e-173	4.25873607200169e-172
"EFT2"	-0.366036209577051	12.4737542445044	2.47846705210022e-173	6.75234038021946e-172
"BMS1"	-0.969730970290407	7.95905295141192	4.57127211530374e-173	1.23946778212093e-171
"SPE3"	-0.789336066442881	8.46497473639561	2.75186337977605e-171	7.42611852343356e-170
"RPL9A"	-0.437304821822914	11.1533827160808	4.80047868481074e-171	1.28933611468454e-169
"NOP4"	-0.982909290084077	7.8214054516985	4.55204883238557e-169	1.21687164561519e-167
"YGR161C-D"	-10.3400390537573	3.69956572281024	3.71725917742548e-168	9.89068867114986e-167
"CYT1"	1.08283373299766	7.62834905629999	4.47504599526854e-166	1.18515869288647e-164
"YLR257W"	1.17677978136322	7.1669391298475	1.6765092186529e-165	4.4194645791711e-164
"PFK1"	0.507316343193946	10.368691879091	1.88912878420099e-165	4.95700428444259e-164
"OPI3"	2.1119308701752	5.80420530980514	2.03829121370304e-163	5.32386705083721e-162
"DDR48"	3.26068381108542	4.85180051231306	3.50197576164495e-163	9.10513698027687e-162
"ERG26"	-0.955541492477417	7.9413565325133	4.74543787858025e-162	1.22820560366527e-160
"MSC1"	3.0704535189868	4.88516060365206	1.42439559450413e-161	3.66991335525182e-160
"RNR4"	-0.836469253450086	8.20099459017645	2.15000562504579e-161	5.51447388694178e-160
"GCN4"	-0.545081327234522	10.1623473011438	9.10698047228107e-161	2.32534290624073e-159
"MCK1"	0.904163583278297	7.97903707069841	3.14732317989305e-160	8.00038311888885e-159
"VTC3"	-1.10894881061609	7.38042562347233	1.01904795284064e-159	2.57887068598872e-158
"URA4"	-0.944719601012904	7.91888800957242	1.3577922212875e-159	3.42091544602257e-158
"TEF1"	-0.317847329876696	13.9016569120306	4.83551008145921e-159	1.21292486360479e-157
"YRF1-4"	-4.03751432713592	4.27170738970231	1.026875855007e-158	2.56448733263591e-157
"COS1"	2.10285716858678	5.67946600136154	1.04194728786229e-158	2.59076325637026e-157
"RPS3"	-0.37241350005404	11.9937342798935	1.82173758545944e-157	4.50998861374176e-156
"LYS9"	-1.0238341693263	7.54801793902686	2.53234494619386e-157	6.24206585438434e-156
"YCR024C-B"	-0.581268575341664	9.59382974853858	3.58390520735519e-157	8.79601562529331e-156
"OYE2"	1.09739951032696	7.35206593379769	2.87761873967208e-156	7.03225798441753e-155
"RPL34B"	-0.48883399259153	10.260469324045	2.19984715390488e-155	5.3529614078352e-154
"ARN1"	-2.12353820537162	5.55955353783179	5.81160854364229e-155	1.40814038499997e-153
"STT3"	-0.694460211338335	8.87504009122305	6.59267026844474e-155	1.59062137747984e-153
"SEC23"	0.621445069519853	9.08045010440829	1.44126052608722e-154	3.46267402343485e-153
"NOC2"	-0.881457981096901	8.16229433394843	1.09840820195211e-153	2.62787239576274e-152
"ENA2"	-2.95417751739487	4.83995829132698	1.93115985057509e-153	4.60084694107723e-152
"NTH1"	1.31454771531515	6.69253415937516	2.22736706798718e-153	5.28442836879958e-152
"NPC2"	0.904389882324145	7.81565460650658	4.89529091798514e-153	1.15658865091317e-151
"RPL27A"	-0.450380192511971	10.545788211896	2.80106243797996e-152	6.59059897597434e-151
"RCK1"	5.96107840083202	3.93185336331207	2.69767772335928e-151	6.32122508510606e-150
"VMA3"	-0.543379475676625	10.213235505206	3.51853174233587e-150	8.21086874625428e-149
"KES1"	0.813254664741229	8.34873748353093	1.12900343636097e-146	2.62389614964873e-145
"PST1"	-1.81345586279935	5.96290725922484	2.98949296261926e-146	6.91958249152605e-145
"PPN1"	1.01124071378039	7.47966757147176	3.0979286197766e-146	7.14154071295869e-145
"IDH2"	1.02821315871313	7.39719903694936	3.35874319652463e-146	7.71156603266583e-145
"LSC2"	1.42090662770672	6.47514778009992	5.03456722550234e-146	1.15127814385584e-144
"HSP60"	0.620293235663088	9.23939834823197	1.26629895371495e-145	2.88412249698118e-144
"YLL066C"	-4.69132420565558	3.90529330020335	1.92029846797215e-145	4.3562468034396e-144
"LYS2"	-1.16069215672893	7.1449187686824	2.15876902056082e-145	4.87779000121957e-144
"GND1"	0.582324669109947	9.50473329329228	3.35368234577499e-145	7.54777362721058e-144
"COS3"	-2.04422958821081	5.55790556062626	5.70284932280507e-145	1.27842614346662e-143
"MDH2"	-1.45044272444806	6.4619872282392	1.69586857901834e-144	3.78677477997272e-143
"PIC2"	2.76936739825554	5.05862209258729	3.71363996425223e-144	8.25994763923914e-143
"HMX1"	3.65716612929616	4.51036883468114	1.17080888337822e-143	2.59400224978818e-142
"FCY2"	-0.540563954833221	9.85207061363856	1.06830659210472e-142	2.35772780443578e-141
"FMP48"	4.95242049519219	3.91220608496339	1.38462755413253e-141	3.04404219815853e-140
"SPB1"	-0.906813948596794	7.72934541573426	1.6633920712809e-140	3.64282863610518e-139
"DBP3"	-0.955344384253937	7.58146099298796	1.76039788857432e-140	3.84050022128053e-139
"INH1"	2.009018966089	5.73544653709706	3.06921072633953e-139	6.67026178464782e-138
"RDL2"	-1.27147709698424	6.90987324841652	1.18427502208788e-138	2.56397793755452e-137
"RPL32"	-0.405441537874094	11.0862738627767	1.4614247776304e-138	3.15202753175284e-137
"GLC3"	2.52599051996585	5.18892127177771	1.74673208838447e-138	3.75316698538158e-137
"ARG5%2C6"	-1.57910630499387	6.05894518879757	6.63197154515604e-137	1.41964082624506e-135
"RPL28"	-0.360408604457918	11.8068404847566	2.04205894996441e-136	4.35486279441849e-135
"ASP1"	-0.847924715530823	7.98755556102158	4.1455621182899e-136	8.80777264982936e-135
"RPS28A"	-0.450063916130881	10.4145133528621	4.88887356897652e-135	1.03484186251867e-133
"COS6"	2.46567327165682	5.15993342999004	2.96811108868541e-134	6.25941649591656e-133
"YDR524C-B"	0.558093877970348	10.5412383926662	4.34977514431071e-134	9.13934305228973e-133
"QCR9"	1.60336906081733	6.08105643145495	6.629822056866e-134	1.38787524969835e-132
"PRC1"	0.713731077937922	8.53011126657424	7.0554680924874e-134	1.47156905929023e-132
"PWP1"	-0.907999381764512	7.58565563196212	1.67542018782573e-133	3.48169436112397e-132
"RPL14B"	-0.480253856497565	10.3349701435945	2.6200905944866e-133	5.42501667091153e-132
"FAA1"	1.10403402948551	7.16915397477994	5.15189019430918e-132	1.06285734660857e-130
"PMP3"	0.596981524282082	8.96203928640654	7.64591728069708e-132	1.57169144390936e-130
"NOP13"	-0.913711614385679	7.48949510818376	8.90705091879583e-132	1.82434345077782e-130
"NOP16"	-1.32143321264534	6.67434210417489	2.17346793443809e-131	4.43574423608979e-130
"CCW12"	0.443506777886369	12.948615696398	3.05184136834066e-131	6.2061374111899e-130
"TAL1"	0.686790559441857	8.59750463483702	1.63312669314103e-130	3.30926099314769e-129
"PXR1"	-1.34252050073491	6.4629695855366	3.0037844822601e-130	6.06508824184008e-129
"TDA8"	9.37194199446072	3.46812641211047	3.16528091505315e-130	6.3685899400398e-129
"CYS4"	0.573575626893079	9.28163491756576	1.05657210485129e-129	2.11835266374058e-128
"RPL41B"	-0.52401068113883	9.72293913178733	4.01012043172828e-129	8.01179850465291e-128
"TOM40"	0.658907377201821	8.67952196271591	9.82203107282768e-129	1.95547709540842e-127
"RSB1"	3.5037996939143	4.31009085533452	3.21347312847666e-128	6.37544111273384e-127
"DPM1"	0.840359913668664	8.15656166959439	1.05747527252689e-126	2.09071673672504e-125
"YBT1"	-0.60931344136622	8.94209707890224	3.72638080642143e-126	7.34187277223655e-125
"LEU1"	1.0820853879162	7.09851179766681	1.32895093466201e-125	2.6093264213674e-124
"SDA1"	-0.844941598463864	7.68139897040651	2.14835834036581e-125	4.20369497939619e-124
"TDA3"	1.06685733814737	7.14615672326777	4.92103798504586e-125	9.59602407083943e-124
"YRF1-6"	-4.66268263484916	3.66996609090924	2.00733172987501e-124	3.90093749826221e-123
"YML018C"	-0.794397831455287	7.95528753955499	6.17044785951484e-124	1.19505204462849e-122
"ERG9"	0.766106499310434	8.07940497613342	8.56204152194289e-124	1.65261913308281e-122
"RPL3"	-0.323039487279276	12.7122909373514	5.45328126638895e-123	1.04901971387901e-121
"RAS2"	1.22977329445983	6.74737252289105	1.1955059593219e-122	2.29199021292219e-121
"PHO12"	-3.22733312706001	4.24849372505808	1.85141483047791e-122	3.53756914253062e-121
"DSE4"	-0.973174410980721	7.46878035243361	6.07510871924805e-122	1.15691200827419e-120
"HCA4"	-0.986320071578219	7.346336026598	2.25060402198244e-121	4.27164643372267e-120
"ERG1"	-0.568060162867528	9.1904170849739	1.45305276967889e-120	2.74873171779124e-119
"YOR142W-B"	-9.8037693064962	3.17751252642341	3.56985510583178e-120	6.73071356708812e-119
"RPS23B"	-0.386537932342219	11.1800745061272	1.54850428283897e-119	2.90996151369145e-118
"KGD1"	1.07229082742446	7.40750050443171	4.84705514554269e-119	9.07866184168423e-118
"FAR1"	-1.70362796292658	5.88255240202391	5.80986819367337e-119	1.0846357211402e-117
"NOP53"	-1.03018961096068	7.11974427521398	6.59223875759357e-119	1.22667344724633e-117
"YLR264C-A"	-0.532991978366258	9.26832555509703	1.63406494612959e-117	3.03073804666511e-116
"YGR111W"	1.89149543763278	5.59891142184091	8.03234378237446e-117	1.4849404382091e-115
"FPR4"	-0.767857296114831	8.0440931921084	1.75584170869077e-116	3.23552190591755e-115
"RRP8"	-1.11239837171082	6.8443289390912	2.9834166079602e-116	5.47986263410495e-115
"HMG1"	-0.506106169112427	9.54667198999771	3.06371316259349e-116	5.60925490283193e-115
"VPH1"	-0.461252295845164	9.99647112797101	7.51233318582002e-116	1.37100080641215e-114
"MDN1"	-0.620743206770286	8.89747302841136	1.69368909294292e-115	3.08110725086806e-114
"SNQ2"	0.544291129034064	9.25292323540101	2.43678561121985e-115	4.41880804786172e-114
"PGI1"	0.370529425921954	10.9036936236001	1.01452994780044e-114	1.83388365802404e-113
"BNA4"	-1.1844546622847	6.5715732107636	2.48538060226345e-114	4.47840416116712e-113
"FPR3"	-0.644782224179284	8.70766597291062	3.2345990167787e-114	5.81003369133689e-113
"YPC1"	2.96431599578566	4.50394070543213	6.55274200541913e-114	1.17331172889486e-112
"SSB1"	0.298710679063283	12.7771678451855	1.12314648825756e-113	2.00476366900895e-112
"MAK21"	-0.709016573190323	8.08182680555572	2.97892382221892e-113	5.30062257616079e-112
"SSF1"	-1.1354715723375	6.64230137002286	5.32735583868305e-113	9.4498330671219e-112
"CYC7"	5.241256286912	3.5234058024445	1.49114360536563e-112	2.63682350588568e-111
"VMR1"	-1.90666919086868	5.48073446814828	2.51015829449968e-112	4.4250282751954e-111
"NFT1"	9.74537408944482	3.21813135398551	2.69490001870671e-112	4.73603725509753e-111
"YRF1-3"	-3.92182010781812	3.8020151535259	5.10413085076251e-112	8.94243725053591e-111
"PDA1"	0.491787023390567	9.31016464213043	7.99767264123129e-112	1.39689411101751e-110
"YBR053C"	3.33312398067447	4.17178308043825	1.12335585275712e-111	1.95608202617708e-110
"HBN1"	-4.19202416274432	3.70441779366384	1.18842297598884e-111	2.06307330039039e-110
"SGE1"	-1.12467604795085	6.68588691889411	4.03257161001355e-111	6.97916800833347e-110
"BFR2"	-1.02946320469586	6.95609265371951	9.53415900003814e-111	1.64507579837022e-109
"YRF1-1"	-2.70698510075928	4.49499781557274	1.53163601249741e-110	2.63478412542605e-109
"GAS1"	0.356391894822998	11.4760615826308	2.07139567327348e-110	3.55256836253591e-109
"PSK1"	1.58983656587009	5.78734773085515	2.09906410621668e-110	3.58921051675609e-109
"SPO21"	-3.73474107389501	3.88532330868258	2.73063634483391e-110	4.65516267888751e-109
"CHC1"	0.786130916792074	7.9414633402756	3.40971255718996e-110	5.795493522579e-109
"HSP104"	1.43267876790811	6.08110235813045	8.07413920991445e-110	1.36827823396586e-108
"PFK2"	0.435184115329654	10.0545434698895	9.66329251169389e-110	1.63272366651587e-108
"ADH6"	0.718684345199646	8.26293282783523	9.76878493646184e-110	1.64566453929626e-108
"SAS10"	-0.945031175322036	7.22434618914102	1.44937346872974e-109	2.43443437491066e-108
"FUN12"	-0.444875695542331	9.85484019043873	1.79923541776454e-109	3.01319013786802e-108
"RPS30B"	-0.437352824726615	9.9806499691165	1.71145192796382e-108	2.85777339525688e-107
"YRF1-7"	-5.38929913678269	3.27752957239979	4.49583604865843e-108	7.48517264943307e-107
"LAP2"	1.05189038365048	6.90122749635198	1.01301906684184e-107	1.68167071912461e-106
"RPS24B"	-0.431088619768683	10.0074837678768	3.11354341314939e-106	5.15363842862577e-105
"ATF2"	-1.56086797278858	5.85084050736679	3.66951814170047e-106	6.05630037647609e-105
"SOD2"	0.929735632569976	7.25655926593635	1.10021322795526e-105	1.81058211560037e-104
"YNK1"	1.23833137183596	6.48244703282673	1.30375451202073e-104	2.13935970935044e-103
